Gen 1‐2; Ps 1; Matt 1‐2    
Gen 3‐4; Ps 2; Matt 3‐4    
Gen 5‐6; Ps 3; Matt 5    
Gen 7‐8; Ps 4; Matt 6    
Gen 9‐10; Ps 5; Matt 7    
Gen 11‐12; Ps 6; Matt 8    
Gen 13‐15; Ps 7; Matt 9    
Gen 16‐17; Ps 8; Matt 10    
Gen 18‐19; Ps 9; Matt 11    
Gen 20‐21; Ps 10; Matt 12    
Gen 22‐23; Ps 11; Matt 13    
Gen 24; Ps 12; Matt 14    
Gen 25‐26; Ps 13; Matt 15    
Gen 27; Ps 14; Matt 16‐17    
Gen 28‐29; Ps 15; Matt 18    
Gen 30; Ps 16; Matt 19    
Gen 31; Ps 17; Matt 20    
Gen 32‐33; Ps 18:1‐24; Matt 21    
Gen 34‐35; Ps 18:25‐50; Matt 22    
Gen 36; Ps 19:1‐6; Matt 23    
Gen 37‐38; Ps 19:7‐14; Matt 24    
Gen 39‐40; Ps 20; Matt 25    
Gen 41‐42; Ps 21; Matt 26    
Gen 43‐44; Ps 22:1‐18; Matt 27‐28    
Gen 45‐46; Ps 22:19‐31; Mark 1    
Gen 47‐48; Ps 23; Mark 2    
Gen 49‐50; Ps 24; Mark 3    
Ex 1; Ps 25; Mark 4    
Ex 2‐3; Ps 26; Mark 5    
Ex 4‐5; Ps 27; Mark 6    
Ex 6‐7; Ps 28; Mark 7    
Ex 8‐9; Ps 29; Mark 8    
Ex 10‐11; Ps 30; Mark 9    
Ex 12; Ps 31; Mark 10    
Ex 13‐14; Ps 32; Mark 11    
Ex 15‐16; Ps 33; Mark 12    
Ex 17‐19; Ps 34; Mark 13    
Ex 20‐21; Ps 35; Mark 14    
Ex 22‐23; Ps 36; Mark 15    
Ex 24‐25; Ps 37:1‐22; Mark 16    
Ex 26‐27; Ps 37:23‐40; Luke 1    
Ex 28; Ps 38; Luke 2    
Ex 29‐30; Ps 39; Luke 3    
Ex 31‐32; Ps 40; Luke 4    
Ex 33‐34; Ps 41; Luke 5    
Ex 35‐36; Ps 42; Luke 6    
Ex 37‐38; Ps 43; Luke 7    
Ex 39‐40; Ps 44; Luke 8    
Lev 1; Ps 45; Luke 9    
Lev 2‐4; Ps 46; Luke 10    
Lev 5‐6; Ps 47; Luke 11    
Lev 7; Ps 48; Luke 12    
Lev 8‐9; Ps 49; Luke 13    
Lev 10‐11; Ps 50; Luke 14    
Lev 12‐13; Ps 51; Luke 15    
Lev 14; Ps 52; Luke 16    
Lev 15‐16; Ps 53; Luke 17    
Lev 17‐18; Ps 54; Luke 18    
Lev 19‐20; Ps 55; Luke 19    
Lev 21‐22; Ps 56; Luke 20    
Lev 23‐24; Ps 57; Luke 21    
Lev 25; Ps 58; Luke 22    
Lev 26; Ps 59; Luke 23    
Lev 27; Ps 60; Luke 24    
Num 1; Ps 61; John 1    
Num 2; Ps 62; John 2    
Num 3; Ps 63; John 3    
Num 4; Ps 64; John 4    
Num 5‐6; Ps 65; John 5    
Num 7; Ps 66; John 6    
Num 8‐9; Ps 67; John 7    
Num 10‐11; Ps 68:1‐18; John 8    
Num 12‐13; Ps 68:19‐36; John 9    
Num 14; Ps 69:1‐18; John 10    
Num 15; Ps 69:19‐36; John 11    
Num 16; Ps 70; John 12    
Num 17‐18; Ps 71; John 13    
Num 19‐20; Ps 72; John 14    
Num 21‐22; Ps 73; John 15    
Num 23‐24; Ps 74; John 16    
Num 25‐26; Ps 75; John 17    
Num 27‐28; Ps 76; John 18    
Num 29‐30; Ps 77; John 19    
Num 31; Ps 78:1‐39; John 20‐21    
Num 32; Ps 78:40‐72; Acts 1    
Num 33‐34; Ps 79; Acts 2    
Num 35‐36; Ps 80; Acts 3    
Deut 1; Ps 81; Acts 4    
Deut 2‐3; Ps 82; Acts 5    
Deut 4; Ps 83; Acts 6    
Deut 5‐6; Ps 84; Acts 7    
Deut 7‐8; Ps 85; Acts 8    
Deut 9‐10; Ps 86; Acts 9    
Deut 11‐12; Ps 87; Acts 10    
Deut 13‐14; Ps 88; Acts 11    
Deut 15‐17; Ps 89:1‐29; Acts 12    
Deut 18‐20; Ps 89:30‐52; Acts 13    
Deut 21‐22; Ps 90; Acts 14    
Deut 23‐24; Ps 91; Acts 15    
Deut 25‐27; Ps 92; Acts 16    
Deut 28; Ps 93; Acts 17    
Deut 29‐30; Ps 94; Acts 18    
Deut 31‐32; Ps 95; Acts 19    
Deut 33‐34; Ps 96; Acts 20    
Josh 1; Ps 97; Acts 21    
Josh 2‐4; Ps 98; Acts 22    
Josh 5‐7; Ps 99; Acts 23    
Josh 8‐9; Ps 100; Acts 24‐25    
Josh 10‐11; Ps 101; Acts 26    
Josh 12‐13; Ps 102; Acts 27    
Josh 14‐15; Ps 103; Acts 28    
Josh 16‐18; Ps 104; Rom 1    
Josh 19‐20; Ps 105:1‐25; Rom 2    
Josh 21‐22; Ps 105:26‐45; Rom 3‐4    
Josh 23‐24; Ps 106:1‐23; Rom 5‐6    
Judg 1; Ps 106:24‐48; Rom 7    
Judg 2‐3; Ps 107:1‐22; Rom 8    
Judg 4‐5; Ps 107:23‐43; Rom 9‐11    
Judg 6‐7; Ps 108; Rom 12‐13    
