Gen 1; Matt 1; Ezra 1; Acts 1
Gen 2; Matt 2; Ezra 2; Acts 2
Gen 3; Matt 3; Ezra 3; Acts 3
Gen 4; Matt 4; Ezra 4; Acts 4
Gen 5; Matt 5; Ezra 5; Acts 5
Gen 6; Matt 6; Ezra 6; Acts 6
Gen 7; Matt 7; Ezra 7; Acts 7
Gen 8; Matt 8; Ezra 8; Acts 8
Gen 9-10; Matt 9; Ezra 9; Acts 9
Gen 11; Matt 10; Ezra 10; Acts 10
Gen 12; Matt 11; Neh 1; Acts 11
Gen 13; Matt 12; Neh 2; Acts 12
Gen 14; Matt 13; Neh 3; Acts 13
Gen 15; Matt 14; Neh 4; Acts 14
Gen 16; Matt 15; Neh 5; Acts 15
Gen 17; Matt 16; Neh 6; Acts 16
Gen 18; Matt 17; Neh 7; Acts 17
Gen 19; Matt 18; Neh 8; Acts 18
Gen 20; Matt 19; Neh 9; Acts 19
Gen 21; Matt 20; Neh 10; Acts 20
Gen 22; Matt 21; Neh 11; Acts 21
Gen 23; Matt 22; Neh 12; Acts 22
Gen 24; Matt 23; Neh 13; Acts 23
Gen 25; Matt 24; Est 1; Acts 24
Gen 26; Matt 25; Est 2; Acts 25
Gen 27; Matt 26; Est 3; Acts 26
Gen 28; Matt 27; Est 4; Acts 27
Gen 29; Matt 28; Est 5; Acts 28
Gen 30; Mark 1; Est 6; Rom 1
Gen 31; Mark 2; Est 7; Rom 2
Gen 32; Mark 3; Est 8; Rom 3
Gen 33; Mark 4; Est 9-10; Rom 4
Gen 34; Mark 5; Job 1; Rom 5
Gen 35-36; Mark 6; Job 2; Rom 6
Gen 37; Mark 7; Job 3; Rom 7
Gen 38; Mark 8; Job 4; Rom 8
Gen 39; Mark 9; Job 5; Rom 9
Gen 40; Mark 10; Job 6; Rom 10
Gen 41; Mark 11; Job 7; Rom 11
Gen 42; Mark 12; Job 8; Rom 12
Gen 43; Mark 13; Job 9; Rom 13
Gen 44; Mark 14; Job 10; Rom 14
Gen 45; Mark 15; Job 11; Rom 15
Gen 46; Mark 16; Job 12; Rom 16
Gen 47; Luke 1:1-38; Job 13; 1 Cor 1
Gen 48; Luke 1:39-80; Job 14; 1 Cor 2
Gen 49; Luke 2; Job 15; 1 Cor 3
Gen 50; Luke 3; Job 16-17; 1 Cor 4
Ex 1; Luke 4; Job 18; 1 Cor 5
Ex 2; Luke 5; Job 19; 1 Cor 6
Ex 3; Luke 6; Job 20; 1 Cor 7
Ex 4; Luke 7; Job 21; 1 Cor 8
Ex 5; Luke 8; Job 22; 1 Cor 9
Ex 6; Luke 9; Job 23; 1 Cor 10
Ex 7; Luke 10; Job 24; 1 Cor 11
Ex 8; Luke 11; Job 25-26; 1 Cor 12
Ex 9; Luke 12; Job 27; 1 Cor 13
Ex 10; Luke 13; Job 28; 1 Cor 14
Ex 11; Luke 14; Job 29; 1 Cor 15
Ex 12; Luke 15; Job 30; 1 Cor 16
Ex 13; Luke 16; Job 31; 2 Cor 1
Ex 14; Luke 17; Job 32; 2 Cor 2
Ex 15; Luke 18; Job 33; 2 Cor 3
Ex 16; Luke 19; Job 34; 2 Cor 4
Ex 17; Luke 20; Job 35; 2 Cor 5
Ex 18; Luke 21; Job 36; 2 Cor 6
Ex 19; Luke 22; Job 37; 2 Cor 7
Ex 20; Luke 23; Job 38; 2 Cor 8
Ex 21; Luke 24; Job 39; 2 Cor 9
Ex 22; John 1; Job 40; 2 Cor 10
Ex 23; John 2; Job 41; 2 Cor 11
Ex 24; John 3; Job 42; 2 Cor 12
Ex 25; John 4; Prov 1; 2 Cor 13
Ex 26; John 5; Prov 2; Gal 1
Ex 27; John 6; Prov 3; Gal 2
Ex 28; John 7; Prov 4; Gal 3
Ex 29; John 8; Prov 5; Gal 4
Ex 30; John 9; Prov 6; Gal 5
Ex 31; John 10; Prov 7; Gal 6
Ex 32; John 11; Prov 8; Eph 1
Ex 33; John 12; Prov 9; Eph 2
Ex 34; John 13; Prov 10; Eph 3
Ex 35; John 14; Prov 11; Eph 4
Ex 36; John 15; Prov 12; Eph 5
Ex 37; John 16; Prov 13; Eph 6
Ex 38; John 17; Prov 14; Phil 1
Ex 39; John 18; Prov 15; Phil 2
Ex 40; John 19; Prov 16; Phil 3
Lev 1; John 20; Prov 17; Phil 4
Lev 2-3; John 21; Prov 18; Col 1
Lev 4; Ps 1-2; Prov 19; Col 2
Lev 5; Ps 3-4; Prov 20; Col 3
Lev 6; Ps 5-6; Prov 21; Col 4
Lev 7; Ps 7-8; Prov 22; 1 Thes 1
Lev 8; Ps 9; Prov 23; 1 Thes 2
Lev 9; Ps 10; Prov 24; 1 Thes 3
Lev 10; Ps 11-12; Prov 25; 1 Thes 4
Lev 11-12; Ps 13-14; Prov 26; 1 Thes 5
Lev 13; Ps 15-16; Prov 27; 2 Thes 1
Lev 14; Ps 17; Prov 28; 2 Thes 2
Lev 15; Ps 18; Prov 29; 2 Thes 3
Lev 16; Ps 19; Prov 30; 1 Tim 1
Lev 17; Ps 20-21; Prov 31; 1 Tim 2
Lev 18; Ps 22; Eccl 1; 1 Tim 3
Lev 19; Ps 23-24; Eccl 2; 1 Tim 4
Lev 20; Ps 25; Eccl 3; 1 Tim 5
Lev 21; Ps 26-27; Eccl 4; 1 Tim 6
Lev 22; Ps 28-29; Eccl 5; 2 Tim 1
Lev 23; Ps 30; Eccl 6; 2 Tim 2
Lev 24; Ps 31; Eccl 7; 2 Tim 3
Lev 25; Ps 32; Eccl 8; 2 Tim 4
Lev 26; Ps 33; Eccl 9; Titus 1
Lev 27; Ps 34; Eccl 10; Titus 2
Num 1; Ps 35; Eccl 11; Titus 3
Num 2; Ps 36; Eccl 12; Phm
Num 3; Ps 37; Song 1; Heb 1
Num 4; Ps 38; Song 2; Heb 2
Num 5; Ps 39; Song 3; Heb 3
Num 6; Ps 40-41; Song 4; Heb 4
Num 7; Ps 42-43; Song 5; Heb 5
Num 8; Ps 44; Song 6; Heb 6
Num 9; Ps 45; Song 7; Heb 7
Num 10; Ps 46-47; Song 8; Heb 8
Num 11; Ps 48; Isa 1; Heb 9
Num 12-13; Ps 49; Isa 2; Heb 10
Num 14; Ps 50; Isa 3-4; Heb 11
Num 15; Ps 51; Isa 5; Heb 12
Num 16; Ps 52-54; Isa 6; Heb 13
Num 17-18; Ps 55; Isa 7; Jas 1
Num 19; Ps 56-57; Isa 8; Jas 2
Num 20; Ps 58-59; Isa 9; Jas 3
Num 21; Ps 60-61; Isa 10; Jas 4
Num 22; Ps 62-63; Isa 11-12; Jas 5
Num 23; Ps 64-65; Isa 13; 1 Pet 1
Num 24; Ps 66-67; Isa 14; 1 Pet 2
Num 25; Ps 68; Isa 15; 1 Pet 3
Num 26; Ps 69; Isa 16; 1 Pet 4
Num 27; Ps 70-71; Isa 17-18; 1 Pet 5
Num 28; Ps 72; Isa 19-20; 2 Pet 1
Num 29; Ps 73; Isa 21; 2 Pet 2
Num 30; Ps 74; Isa 22; 2 Pet 3
Num 31; Ps 75-76; Isa 23; 1 Jn 1
Num 32; Ps 77; Isa 24; 1 Jn 2
Num 33; Ps 78:1-39; Isa 25; 1 Jn 3
Num 34; Ps 78:40-72; Isa 26; 1 Jn 4
Num 35; Ps 79; Isa 27; 1 Jn 5
Num 36; Ps 80; Isa 28; 2 Jn 1
Deut 1; Ps 81-82; Isa 29; 3 Jn 1
Deut 2; Ps 83-84; Isa 30; Jude 1
Deut 3; Ps 85; Isa 31; Rev 1
Deut 4; Ps 86-87; Isa 32; Rev 2
Deut 5; Ps 88; Isa 33; Rev 3
Deut 6; Ps 89; Isa 34; Rev 4
Deut 7; Ps 90; Isa 35; Rev 5
Deut 8; Ps 91; Isa 36; Rev 6
Deut 9; Ps 92-93; Isa 37; Rev 7
Deut 10; Ps 94; Isa 38; Rev 8
Deut 11; Ps 95-96; Isa 39; Rev 9
Deut 12; Ps 97-98; Isa 40; Rev 10
Deut 13-14; Ps 99-101; Isa 41; Rev 11
Deut 15; Ps 102; Isa 42; Rev 12
Deut 16; Ps 103; Isa 43; Rev 13
Deut 17; Ps 104; Isa 44; Rev 14
